2025-01-10T00:02:12.083+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : Starting MongodbAssignmentEvaluatorApplication using Java 21.0.5 with PID 19888 (C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator\target\classes started by Denis in C:\Users\Denis\Desktop\3year2024-25\bakalarka\mongodb_assignment_evaluator)
2025-01-10T00:02:12.086+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .m.MongodbAssignmentEvaluatorApplication : No active profile set, falling back to 1 default profile: "default"
2025-01-10T00:02:13.310+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2025-01-10T00:02:13.314+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-10T00:02:13.580+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 254 ms. Found 5 JPA repository interfaces.
2025-01-10T00:02:14.428+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-01-10T00:02:14.451+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-01-10T00:02:14.451+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.31]
2025-01-10T00:02:14.573+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-01-10T00:02:14.573+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2417 ms
2025-01-10T00:02:14.844+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-01-10T00:02:15.226+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:835214ba-8fdb-46e9-91a0-1c4d36d83740 user=SA
2025-01-10T00:02:15.229+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-01-10T00:02:15.306+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-10T00:02:15.425+01:00  INFO 19888 --- [mongodb_assignment_evaluator] [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.5.3.Final
